Name,URL
Clear,https://static.tenki.jp/images/icon/forecast-days-weather/01.png
Clouds,https://static.tenki.jp/images/icon/forecast-days-weather/08.png
Rain,https://static.tenki.jp/images/icon/forecast-days-weather/15.png
Snow,https://static.tenki.jp/images/icon/forecast-days-weather/23.png
Thunderstorm,http://openweathermap.org/img/wn/11d@2x.png
mist,http://openweathermap.org/img/wn/50d@2x.png
Smoke,http://openweathermap.org/img/wn/50d@2x.png
Haze,http://openweathermap.org/img/wn/50d@2x.png
Dust,http://openweathermap.org/img/wn/50d@2x.png
Fog,http://openweathermap.org/img/wn/50d@2x.png
Sand,http://openweathermap.org/img/wn/50d@2x.png
Dust,http://openweathermap.org/img/wn/50d@2x.png
Ash,http://openweathermap.org/img/wn/50d@2x.png
Squall,http://openweathermap.org/img/wn/50d@2x.png
Tornado,http://openweathermap.org/img/wn/50d@2x.png
Drizzle,http://openweathermap.org/img/wn/09d@2x.png
